Round,Test acc
1,0.1000999971292913
2,0.5646999883651733
3,0.7809999805688858
4,0.8356999784708024
5,0.8471999800205231
6,0.8611999773979186
7,0.8687999796867371
8,0.8787999790906906
9,0.8750999808311463
10,0.883199982047081
11,0.8828999823331833
12,0.8889999812841416
13,0.8928999811410904
14,0.8830999833345413
15,0.894899982213974
16,0.9022999805212021
17,0.8957999807596206
18,0.8968999809026719
19,0.8989999806880951
20,0.9032999807596207
21,0.900899977684021
22,0.9035999780893326
23,0.9067999786138534
24,0.9029999828338623
25,0.9063999795913696
26,0.9088999843597412
27,0.9052999806404114
28,0.9071999841928482
29,0.9133999824523926
30,0.9068999814987183
31,0.9043999826908111
32,0.9032999819517136
33,0.9071999824047089
34,0.9090999817848205
35,0.9092999833822251
36,0.9053999823331833
37,0.9077999800443649
38,0.906199980378151
39,0.9041999810934067
40,0.9076999807357788
41,0.909799981713295
42,0.9068999814987183
43,0.9105999803543091
44,0.9118999803066253
45,0.9118999809026718
46,0.907599984407425
47,0.9100999814271927
48,0.9115999811887741
49,0.9086999821662903
50,0.9085999822616577
51,0.9135999822616577
52,0.9098999828100205
53,0.9098999816179275
54,0.9082999813556671
55,0.9121999794244766
56,0.9139999824762345
57,0.904799981713295
58,0.9150999820232392
59,0.9144999831914902
60,0.9120999836921692
61,0.9135999834537506
62,0.9173999816179276
63,0.9115999829769135
64,0.9110999804735184
65,0.9087999826669693
66,0.9113999837636948
67,0.9132999831438064
68,0.9119999802112579
69,0.9117999851703644
70,0.9104999792575836
71,0.9108999836444854
72,0.9127999782562256
73,0.9129999792575836
74,0.9146999818086624
75,0.9143999820947647
76,0.9169999808073044
77,0.9159999823570252
78,0.9073999834060669
79,0.9164999794960021
80,0.9158999842405319
81,0.9118999809026718
82,0.9146999835968017
83,0.911399981379509
84,0.9135999822616577
85,0.9146999835968017
86,0.9114999806880951
87,0.9166999816894531
88,0.9128999829292297
89,0.9117999804019928
90,0.9147999846935272
91,0.9112999814748765
92,0.9145999813079834
93,0.9158999836444854
94,0.9125999808311462
95,0.9126999813318253
96,0.9130999797582626
97,0.9141999799013137
98,0.9117999851703644
99,0.9128999793529511
100,0.9132999795675277
