Round,Test acc
1,0.10009999729692937
2,0.10049999736249447
3,0.3286999927461147
4,0.5948999854922294
5,0.6262999859452247
6,0.7593999820947647
7,0.7777999806404113
8,0.7995999789237976
9,0.7993999773263931
10,0.846899978518486
11,0.833599978685379
12,0.8624999779462814
13,0.8594999790191651
14,0.8661999797821045
15,0.8509999775886535
16,0.868599979877472
17,0.8450999766588211
18,0.8585999798774719
19,0.8676999765634537
20,0.8616999793052673
21,0.8724999833106994
22,0.8366999810934067
23,0.8681999802589416
24,0.8696999764442443
25,0.8950999814271927
26,0.8740999805927276
27,0.8920999848842621
28,0.8812999814748764
29,0.8788999789953231
30,0.8715999799966813
31,0.88049997985363
32,0.8701999843120575
33,0.8905999791622162
34,0.8646999800205231
35,0.8597999793291092
36,0.8755999797582626
37,0.8859999775886536
38,0.8653999811410904
39,0.8926999789476394
40,0.8599999791383743
41,0.8785999816656113
42,0.8729999828338623
43,0.8864999806880951
44,0.8626999783515931
45,0.8832999813556671
46,0.8896999824047088
47,0.881099978685379
48,0.8710999798774719
49,0.8607999801635742
50,0.8705999797582626
51,0.8719999796152115
52,0.8766999769210816
53,0.8729999828338623
54,0.8801999777555466
55,0.8860999798774719
56,0.8697999805212021
57,0.8757999801635742
58,0.8699999803304672
59,0.8654999786615372
60,0.8836999809741974
61,0.8920999795198441
62,0.8760999792814255
63,0.8741999799013138
64,0.8336999773979187
65,0.8620999813079834
66,0.8725999802350998
67,0.837099979519844
68,0.8833999818563462
69,0.87629998087883
70,0.8837999808788299
71,0.867099980711937
72,0.8700999814271927
73,0.8586999809741974
74,0.878299977183342
75,0.8796999800205231
76,0.8844999814033508
77,0.8931999832391739
78,0.8754999816417695
79,0.8701999825239182
80,0.8752999788522721
81,0.8807999819517136
82,0.8891999787092209
83,0.8619999808073043
84,0.8970999789237976
85,0.8744999831914901
86,0.8229999768733979
87,0.811499981880188
88,0.8445999801158905
89,0.9011999797821045
90,0.8852999800443649
91,0.8871999788284302
92,0.881199980378151
93,0.8576999837160111
94,0.8690999788045883
95,0.8682999795675278
96,0.871599982380867
97,0.8467999798059463
98,0.8806999814510346
99,0.876399980187416
100,0.8749999779462815
